time	area
0.0991	0.0000
0.2651	0.0000
0.4303	0.0000
0.5979	0.0000
0.7651	0.0000
0.9305	11.7666
1.0984	21.9320
1.2636	18.8773
1.4305	11.3061
1.5966	19.6125
1.7630	0.0000
1.9297	0.0000
2.0954	0.0000
2.2623	0.0000
2.4298	0.0000
2.5953	0.0000
2.7624	0.0000
2.9297	0.0000
3.0951	0.0000
3.2636	0.0000
3.4319	0.0000
3.5958	0.0000
3.7627	0.0000
3.9295	0.0000
4.0968	0.0000
4.2621	0.0000
4.4316	0.0000
4.5952	0.0000
4.7617	0.0000
4.9279	0.0000
5.0959	0.0000
5.2625	0.0000
5.4287	0.0000
5.5951	0.0000
5.7620	0.0000
5.9294	0.0000
6.0958	0.0000
6.2618	0.0000
6.4291	0.0000
6.5944	0.0000
6.7621	0.0000
6.9281	0.0000
7.0955	24.4923
7.2626	0.0000
7.4290	17.6690
7.5960	24.7078
7.7622	17.6309
7.9276	0.0000
8.0945	0.0000
8.2627	0.0000
8.4294	0.0000
8.5961	0.0000
8.7619	0.0000
8.9287	0.0000
9.0958	0.0000
9.2624	0.0000
9.4290	0.0000
9.5965	0.0000
9.7619	0.0000
9.9281	0.0000
10.0963	0.0000
10.2626	0.0000
10.4288	0.0000
10.5948	0.0000
10.7633	0.0000
10.9292	0.0000
11.0949	0.0000
11.2611	0.0000
11.4289	0.0000
11.5951	0.0000
11.7627	10.5583
11.9287	11.6441
12.0960	12.8778
12.2624	14.2636
12.4291	15.5945
12.5956	17.5591
12.7610	18.4802
12.9292	20.4110
13.0965	23.7107
13.2624	25.2402
13.4273	29.2328
13.5959	31.9114
13.7611	35.3168
13.9284	38.3799
14.0959	42.3261
14.2624	45.7863
14.4291	50.3367
14.5953	54.3504
14.7616	58.1360
14.9282	62.3103
15.0948	66.7804
15.2618	71.1279
15.4280	78.5428
15.5945	78.4878
15.7617	85.0831
15.9281	100.7958
16.0949	108.5741
16.2631	117.6282
16.4284	126.2810
16.5946	135.5127
16.7613	143.0332
16.9290	152.7338
17.0951	161.8302
17.2614	169.7901
17.4281	184.4001
17.5952	196.0189
17.7631	210.6670
17.9288	207.5193
18.0944	219.7634
18.2616	247.8596
18.4278	264.6582
18.5955	280.5569
18.7623	294.0516
18.9290	316.4441
19.0948	342.8207
19.2620	370.2579
19.4280	400.3441
19.5946	433.2864
19.7616	481.2655
19.9302	528.0954
20.0951	588.6650
20.2617	637.9285
20.4287	616.8331
20.5945	735.4415
20.7610	780.2984
20.9284	821.7836
21.0945	840.6440
21.2613	853.9232
21.4287	908.4511
21.5942	928.0846
21.7606	995.2199
21.9287	1042.4512
22.0947	1043.6468
22.2613	1023.5696
22.4283	1035.6700
22.5945	1135.3420