time	edge_length
0.0991	0.0000
0.2651	0.0000
0.4303	0.0000
0.5979	0.0000
0.7651	0.0000
0.9305	22.8994
1.0984	41.7085
1.2636	38.2858
1.4305	21.2419
1.5966	37.7881
1.7630	0.0000
1.9297	0.0000
2.0954	0.0000
2.2623	0.0000
2.4298	0.0000
2.5953	0.0000
2.7624	0.0000
2.9297	0.0000
3.0951	0.0000
3.2636	0.0000
3.4319	0.0000
3.5958	0.0000
3.7627	0.0000
3.9295	0.0000
4.0968	0.0000
4.2621	0.0000
4.4316	0.0000
4.5952	0.0000
4.7617	0.0000
4.9279	0.0000
5.0959	0.0000
5.2625	0.0000
5.4287	0.0000
5.5951	0.0000
5.7620	0.0000
5.9294	0.0000
6.0958	0.0000
6.2618	0.0000
6.4291	0.0000
6.5944	0.0000
6.7621	0.0000
6.9281	0.0000
7.0955	41.4866
7.2626	0.0000
7.4290	38.6266
7.5960	41.1327
7.7622	38.0908
7.9276	0.0000
8.0945	0.0000
8.2627	0.0000
8.4294	0.0000
8.5961	0.0000
8.7619	0.0000
8.9287	0.0000
9.0958	0.0000
9.2624	0.0000
9.4290	0.0000
9.5965	0.0000
9.7619	0.0000
9.9281	0.0000
10.0963	0.0000
10.2626	0.0000
10.4288	0.0000
10.5948	0.0000
10.7633	0.0000
10.9292	0.0000
11.0949	0.0000
11.2611	0.0000
11.4289	0.0000
11.5951	0.0000
11.7627	5.9441
11.9287	7.1298
12.0960	7.5198
12.2624	8.9522
12.4291	9.7345
12.5956	11.3441
12.7610	12.5860
12.9292	14.4891
13.0965	16.1926
13.2624	18.1337
13.4273	20.1891
13.5959	22.4018
13.7611	25.1099
13.9284	27.5849
14.0959	31.0707
14.2624	33.7811
14.4291	37.2442
14.5953	40.8650
14.7616	45.2519
14.9282	49.0781
15.0948	53.1573
15.2618	57.9523
15.4280	63.0504
15.5945	68.2985
15.7617	74.9120
15.9281	80.4763
16.0949	85.8752
16.2631	93.1958
16.4284	99.9185
16.5946	107.0228
16.7613	114.2098
16.9290	122.2427
17.0951	129.2900
17.2614	138.4752
17.4281	149.5547
17.5952	159.8151
17.7631	170.2394
17.9288	180.8081
18.0944	190.4353
18.2616	195.3826
18.4278	210.1044
18.5955	235.7739
18.7623	248.1877
18.9290	260.6466
19.0948	281.3742
19.2620	312.8526
19.4280	336.6595
19.5946	368.6609
19.7616	411.0265
19.9302	442.7666
20.0951	501.0503
20.2617	542.7815
20.4287	561.7846
20.5945	630.2770
20.7610	682.2082
20.9284	720.4021
21.0945	750.5624
21.2613	773.7629
21.4287	826.8686
21.5942	854.9659
21.7606	931.1140
21.9287	982.9630
22.0947	982.4740
22.2613	1029.8054
22.4283	1074.9447
22.5945	1201.0213