time	um
0.9305	4.5799
1.0984	3.7917
1.2636	4.2540
1.4305	3.0346
1.5966	3.1490
7.0955	2.5929
7.4290	7.7253
7.5960	3.1641
7.7622	6.3485
11.7627	2.9720
11.9287	3.5649
12.0960	2.5066
12.2624	4.4761
12.4291	4.8672
12.5956	5.6720
12.7610	6.2930
12.9292	7.2445
13.0965	8.0963
13.2624	9.0669
13.4273	10.0946
13.5959	11.2009
13.7611	12.5549
13.9284	13.7925
14.0959	15.5353
14.2624	16.8905
14.4291	18.6221
14.5953	20.4325
14.7616	22.6260
14.9282	24.5390
15.0948	26.5787
15.2618	28.9762
15.4280	21.0168
15.5945	34.1493
15.7617	37.4560
15.9281	40.2382
16.0949	28.6251
16.2631	23.2990
16.4284	19.9837
16.5946	21.4046
16.7613	19.0350
16.9290	17.4632
17.0951	18.4700
17.2614	17.3094
17.4281	18.6943
17.5952	17.7572
17.7631	18.9155
17.9288	18.0808
18.0944	17.3123
18.2616	16.2819
18.4278	16.1619
18.5955	13.0985
18.7623	15.5117
18.9290	15.3322
19.0948	14.8092
19.2620	17.3807
19.4280	15.3027
19.5946	18.4330
19.7616	20.5513
19.9302	21.0841
20.0951	20.8771
20.2617	21.7113
20.4287	22.4714
20.5945	20.3315
20.7610	21.3190
20.9284	21.1883
21.0945	20.2855
21.2613	18.4229
21.4287	18.3749
21.5942	15.2672
21.7606	15.7816
21.9287	15.6026
22.0947	16.1061
22.2613	14.1069
22.4283	12.6464
22.5945	12.5106