num	um_per_hour	timepoint_start	timepoint_end
0	14.5641	11.7627	15.2618
1	21.9698	16.2631	20.9284
2	5.4913	16.9290	18.5955
3	20.1990	16.9290	20.5945
4	17.4164	17.5952	20.0951
5	15.0839	18.2616	20.4287
6	13.0325	18.2616	20.0951
7	7.5030	18.4278	19.7616
8	21.4209	18.5955	21.2613
9	8.6104	18.5955	20.2617
10	9.8003	18.9290	20.0951
11	13.1845	20.4287	21.4287
12	16.9768	20.5945	22.0947
13	26.5058	20.5945	21.2613
14	32.8813	20.7610	21.7606
15	18.3581	21.0945	21.7606
16	13.3821	21.2613	22.2613
17	18.0910	21.2613	22.4283
18	28.1067	21.2613	22.4283
19	12.7263	21.4287	22.4283